customer_id,signup_date,churn_date,subscription_type,monthly_revenue,csat_score,customer_segment,country,customer_age_months,churn_reason,last_active_date,clv,contract_length_months,expansion_status,onboarding_score,support_tickets,churned,clv_segment,adjusted_csat,segment_id,segment_number,segment_name,customer_count_bin,support_ticket_category,active_status,seats_purchased,seats_used,seat_utilization_rate,renewal_date,renewal_status,account_health_score,team_size,industry,feature_adoption_rate,active_features,customer_lifetime_days,is_churned,signup_year
1,2022-03-04,,enterprise,150,5,small business,norway,92,,2029-09-30,5400,36,No Change,21,6,0,High,4.041168988591605,1,Churned,Cluster 4,100-500,Billing,Active,40,24,0.6,2025-03-04,renewed,100.0,50-100,technology,0.5674996517121547,11,947,0,2022
2,2021-10-10,,pro,200,1,mid-market,denmark,97,,2029-09-30,2400,12,No Change,91,9,0,Low,1.2150897038028767,4,Loyal,Cluster 3,100-500,Feature Request,Active,48,3,0.0625,2022-10-10,renewed,18.399969896408464,10-50,finance,0.3279993979281692,6,1092,0,2021
3,2022-02-03,,pro,200,4,mid-market,canada,93,,2029-09-30,2400,12,Expanded,92,6,0,Medium,4.325044568707964,1,At Risk,Cluster 2,100-500,Billing,Active,21,4,0.1904761904761904,2023-02-03,renewed,100.0,50-100,technology,0.6659979946695727,13,976,0,2022
4,2022-01-23,,enterprise,425,4,enterprise,switzerland,93,,2029-09-30,14400,24,Contract Reduced,14,7,0,Low,3.542698063547792,4,Churned,Cluster 2,0-100,Feature Request,Active,25,16,0.64,2024-01-23,renewed,98.11331923216198,10-50,technology,0.6422663846432397,12,987,0,2022
5,2022-11-07,2023-04-07,basic,50,1,small business,sweden,5,feature gaps,2023-04-07,600,12,No Change,88,0,1,Medium,0.7169314570885452,0,Churned,Cluster 3,0-100,Feature Request,Inactive,37,5,0.1351351351351351,,churned,40.96147044602517,50-100,technology,0.4192294089205034,8,151,1,2022
6,2022-10-25,,basic,50,4,small business,uk,84,,2029-09-30,600,12,No Change,86,2,0,Medium,3.471969839497912,2,Loyal,Cluster 3,500+,Billing,Active,5,1,0.2,2023-10-25,renewed,100.0,50-100,technology,0.5833289550971696,11,712,0,2022
7,2023-03-26,,pro,100,5,small business,germany,79,,2029-09-30,1200,12,No Change,96,3,0,Low,4.153959819657586,2,New,Cluster 2,100-500,Billing,Active,47,29,0.6170212765957447,2024-03-26,renewed,100.0,10-50,finance,0.844539884355656,16,560,0,2023
8,2021-11-25,,enterprise,300,4,mid-market,switzerland,95,,2029-09-30,7200,24,No Change,89,6,0,High,3.0139042610623816,2,Loyal,Cluster 2,0-100,Technical,Active,17,9,0.5294117647058824,2023-11-25,renewed,100.0,100-500,finance,0.8440970649274524,16,1046,0,2021
9,2022-06-26,2023-08-26,enterprise,150,1,small business,norway,14,high cost,2023-08-26,3600,24,No Change,52,0,1,High,1.2191286679597937,1,Churned,Cluster 2,500+,Technical,Inactive,41,17,0.4146341463414634,,churned,36.94676741326945,10-50,technology,0.3389353482653889,6,426,1,2022
10,2021-10-20,,basic,50,4,small business,netherlands,96,,2029-09-30,1200,24,No Change,55,7,0,Medium,4.071549368149517,0,Loyal,Cluster 4,500+,Billing,Active,38,6,0.1578947368421052,2023-10-20,renewed,88.12912631977198,10-50,retail,0.4425825263954398,8,1082,0,2021
11,2022-02-24,,basic,50,3,small business,switzerland,92,,2029-09-30,1800,36,No Change,19,3,0,Low,3.3513802340785617,0,Loyal,Cluster 2,500+,General,Active,43,18,0.4186046511627907,2025-02-24,renewed,88.35518371228349,50-100,finance,0.68710367424567,13,955,0,2022
12,2022-09-19,,basic,50,4,small business,denmark,85,,2029-09-30,1200,24,No Change,60,0,0,High,3.3774142166827588,0,New,Cluster 3,500+,Feature Request,Active,41,32,0.7804878048780488,2024-09-19,renewed,100.0,50-100,technology,0.445111374540271,8,748,0,2022
